Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
GN3,NO,11/09/2011 00:00,,ug m-3,R
GN3,NO,12/09/2011 00:00,,ug m-3,R
GN3,NO,13/09/2011 00:00,,ug m-3,R
GN3,NO,14/09/2011 00:00,,ug m-3,R
GN3,NO,15/09/2011 00:00,59.30000,ug m-3,R
GN3,NO,16/09/2011 00:00,46.00000,ug m-3,R
GN3,NO,17/09/2011 00:00,27.80000,ug m-3,R
GN3,NO,18/09/2011 00:00,34.80000,ug m-3,R
GN3,NO,19/09/2011 00:00,41.50000,ug m-3,R
GN3,NO,20/09/2011 00:00,22.50000,ug m-3,R
GN3,NO,21/09/2011 00:00,38.30000,ug m-3,R
GN3,NO,22/09/2011 00:00,45.50000,ug m-3,R
GN3,NO,23/09/2011 00:00,48.00000,ug m-3,R
GN3,NO,24/09/2011 00:00,43.00000,ug m-3,R
GN3,NO,25/09/2011 00:00,17.30000,ug m-3,R
GN3,NO,26/09/2011 00:00,31.90000,ug m-3,R
GN3,NO,27/09/2011 00:00,68.70000,ug m-3,R
GN3,NO,28/09/2011 00:00,82.90000,ug m-3,R
GN3,NO,29/09/2011 00:00,77.40000,ug m-3,R
GN3,NO,30/09/2011 00:00,62.10000,ug m-3,R
GN3,NO,01/10/2011 00:00,47.10000,ug m-3,R
GN3,NO,02/10/2011 00:00,32.20000,ug m-3,R
GN3,NO,03/10/2011 00:00,22.80000,ug m-3,R
GN3,NO,04/10/2011 00:00,23.80000,ug m-3,R
GN3,NO,05/10/2011 00:00,16.40000,ug m-3,R
GN3,NO,06/10/2011 00:00,23.70000,ug m-3,R
GN3,NO,07/10/2011 00:00,45.90000,ug m-3,R
GN3,NO,08/10/2011 00:00,35.90000,ug m-3,R
GN3,NO,09/10/2011 00:00,16.10000,ug m-3,R
GN3,NO,10/10/2011 00:00,16.30000,ug m-3,R
GN3,NO,11/10/2011 00:00,20.70000,ug m-3,R
GN3,NO,12/10/2011 00:00,42.00000,ug m-3,R
GN3,NO,13/10/2011 00:00,15.90000,ug m-3,R
GN3,NO,14/10/2011 00:00,48.50000,ug m-3,R
GN3,NO,15/10/2011 00:00,93.10000,ug m-3,R
GN3,NO,16/10/2011 00:00,59.40000,ug m-3,R
GN3,NO,17/10/2011 00:00,20.80000,ug m-3,R
GN3,NO,18/10/2011 00:00,28.40000,ug m-3,R
GN3,NO,19/10/2011 00:00,52.60000,ug m-3,R
GN3,NO,20/10/2011 00:00,64.50000,ug m-3,R
GN3,NO,21/10/2011 00:00,36.70000,ug m-3,R
GN3,NO,22/10/2011 00:00,41.10000,ug m-3,R
GN3,NO,23/10/2011 00:00,19.60000,ug m-3,R
GN3,NO,24/10/2011 00:00,31.50000,ug m-3,R
GN3,NO,25/10/2011 00:00,34.80000,ug m-3,R
GN3,NO,26/10/2011 00:00,42.50000,ug m-3,R
GN3,NO,27/10/2011 00:00,53.70000,ug m-3,R
GN3,NO,28/10/2011 00:00,38.60000,ug m-3,R
GN3,NO,29/10/2011 00:00,27.70000,ug m-3,R
GN3,NO,30/10/2011 00:00,11.40000,ug m-3,R
GN3,NO,31/10/2011 00:00,27.90000,ug m-3,R
GN3,NO,01/11/2011 00:00,41.00000,ug m-3,R
GN3,NO,02/11/2011 00:00,37.10000,ug m-3,R
GN3,NO,03/11/2011 00:00,33.50000,ug m-3,R
GN3,NO,04/11/2011 00:00,42.50000,ug m-3,R
GN3,NO,05/11/2011 00:00,50.40000,ug m-3,R
GN3,NO,06/11/2011 00:00,2.20000,ug m-3,R
GN3,NO,07/11/2011 00:00,3.80000,ug m-3,R
GN3,NO,08/11/2011 00:00,58.40000,ug m-3,R
GN3,NO,09/11/2011 00:00,45.20000,ug m-3,R
GN3,NO,10/11/2011 00:00,67.00000,ug m-3,R
GN3,NO,11/11/2011 00:00,54.00000,ug m-3,R
GN3,NO,12/11/2011 00:00,36.00000,ug m-3,R
GN3,NO,13/11/2011 00:00,28.90000,ug m-3,R
GN3,NO,14/11/2011 00:00,37.20000,ug m-3,R
GN3,NO,15/11/2011 00:00,54.20000,ug m-3,R
GN3,NO,16/11/2011 00:00,51.70000,ug m-3,R
GN3,NO,17/11/2011 00:00,50.90000,ug m-3,R
GN3,NO,18/11/2011 00:00,45.20000,ug m-3,R
GN3,NO,19/11/2011 00:00,81.90000,ug m-3,R
GN3,NO,20/11/2011 00:00,153.60001,ug m-3,R
